Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
272016,1-Jan-15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5,N/A
273397,4-Jan-15,Texas,Dallas,2000 block of Ben Hur St.,3,1,N/A
273535,4-Jan-15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4,N/A
273965,2-Jan-15,Georgia,Savannah,500 block of W. 54th Street,1,4,N/A
274867,6-Jan-15,Florida,Miami,1300 block of NW 62nd Street,1,3,N/A
275064,7-Jan-15,Tennessee,Chattanooga,773 West Main Street,1,3,N/A
275986,8-Jan-15,Massachusetts,Boston,104 Harrishof Street,1,3,N/A
276459,9-Jan-15,California,San Francisco,Laguna St and Page St,4,0,N/A
276536,10-Jan-15,Kansas,Wichita,4859 E Harry Street,2,2,N/A
276766,11-Jan-15,California,San Jose,3840 Monterey Hwy,0,5,N/A
276845,11-Jan-15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5,N/A
277480,11-Jan-15,Florida,Lakeland,7665 Chase Road,1,3,N/A
278927,13-Jan-15,Illinois,Rockford,700 block of Oakley Avenue,2,2,N/A
281039,19-Jan-15,Texas,San Antonio,1000 block of Gibbs St.,2,5,N/A
281663,20-Jan-15,Tennessee,Clarksville,321 Lansinger Lane,1,3,N/A
282956,24-Jan-15,New York,Arverne (Queens),231-11 148th Avenue,4,1,N/A
283041,24-Jan-15,Nebraska,Omaha,3402 Parker St,3,5,N/A
283115,23-Jan-15,Massachusetts,Boston,954 Parker Street,0,6,N/A
285123,26-Jan-15,California,Stockton,1500 block of E. 9th Street,1,3,N/A
285549,28-Jan-15,Georgia,Dekalb County,1600 block of Panola Road,1,3,N/A
286810,31-Jan-15,Georgia,Lagrange,100 block of Woodstream Trail,4,0,N/A
287031,1-Feb-15,New York,New York (Manhattan),3345 Broadway,1,4,N/A
287529,1-Feb-15,New York,Syracuse,1217 West Fayette Street,0,6,N/A
289146,5-Feb-15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3,N/A
289811,7-Feb-15,Georgia,Douglasville,3640 Willow Tree Circle,5,2,N/A
