Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
31-Dec-16,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,N/A
31-Dec-16,Texas,Houston,3704 Fannin Street,1,3,N/A
30-Dec-16,Ohio,Mansfield,3230 Possum Run Rd,0,5,N/A
30-Dec-16,Connecticut,Wallingford,95 S Turnpike Rd,2,3,N/A
28-Dec-16,Georgia,Columbus,2914 10th Street,1,4,N/A
25-Dec-16,Illinois,Chicago,8600 block of S Maryland Ave,3,4,N/A
25-Dec-16,Alabama,Ozark,858 US-231,0,4,N/A
25-Dec-16,New York,Mount Vernon,4 North 3rd Avenue,1,5,N/A
24-Dec-16,North Carolina,Madison,490 K Ford Rd,0,7,N/A
24-Dec-16,North Carolina,Wilson,2241 Banks Lane East,4,0,N/A
23-Dec-16,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,N/A
23-Dec-16,Illinois,Chicago,4900 block of W Hubbard,0,4,N/A
17-Dec-16,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,N/A
17-Dec-16,North Carolina,Charlotte,4115 N. Tryon Street,0,4,N/A
16-Dec-16,Illinois,Chicago,13th and South Kedzie,0,4,N/A
16-Dec-16,Illinois,Chicago,4300 block of South Rockwell,2,2,N/A
12-Dec-16,California,Sacramento,4800 block of Myrtle Avenue,1,3,N/A
11-Dec-16,New York,Brooklyn,192 Knickerbocker Ave,0,4,N/A
11-Dec-16,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,N/A
11-Dec-16,Maryland,Baltimore,3916 South Hanover Street,0,5,N/A
11-Dec-16,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,N/A
9-Dec-16,Texas,Channelview,15300 block of Market,4,0,N/A
9-Dec-16,California,Fresno,842 Fresno Street,0,4,N/A
5-Dec-16,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,N/A
3-Dec-16,California,Los Angeles,91st Street and Western Avenue,0,6,N/A
2-Dec-16,New Jersey,Bloomfield,3 1st Ave,0,6,N/A
1-Dec-16,California,Clearlake Oaks,N/A,1,3,N/A
30-Nov-16,Maryland,Baltimore,2901 Garrison Blvd,2,4,N/A
28-Nov-16,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,N/A
28-Nov-16,California,Wilmington,1067 McDonald Avenue,0,4,N/A
28-Nov-16,California,San Pedro,300 block of West 2nd Street,0,4,N/A
27-Nov-16,Louisiana,New Orleans,100 block of Bourbon Street,1,9,N/A
27-Nov-16,Missouri,Kansas City,Gregory and Prospect,0,7,N/A
26-Nov-16,Illinois,Chicago,8800 block of S Exchange Ave,1,5,N/A
25-Nov-16,Louisiana,New Orleans,Magnolia St and Felicity St,0,4,N/A
24-Nov-16,Kentucky,Louisville,4501 W Broadway,2,4,N/A
24-Nov-16,New York,Albany,77 Central Ave,1,3,N/A
23-Nov-16,Mississippi,Olive Branch,928 Cross Road,0,4,N/A
22-Nov-16,Florida,Clewiston,1068 Harlem Academy Ave,1,4,N/A
18-Nov-16,Illinois,Chicago,5000 block of W Wabansia,0,4,N/A
17-Nov-16,Tennessee,Dyersburg,160 Longfellow,1,7,N/A
13-Nov-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,N/A
13-Nov-16,Texas,San Antonio,8000 Midcrown,0,4,N/A
13-Nov-16,California,San Diego,3800 block of Marlborough Avenue,3,2,N/A
13-Nov-16,Florida,Orlando,Conley Street and South Ivey Lane,0,4,N/A
12-Nov-16,California,Sacramento,8600 block of Ardith Drive,1,5,N/A
12-Nov-16,Missouri,Kansas City,21st St and Cleveland Ave,1,3,N/A
12-Nov-16,Connecticut,Bridgeport,2500 Park Avenue,0,5,N/A
11-Nov-16,Texas,Houston,7705 Channelside Street,0,4,N/A
10-Nov-16,Texas,Houston,6610 S Sam Houston Pkwy W,1,3,N/A
9-Nov-16,Washington,Seattle,1524 3rd Ave,0,5,N/A
9-Nov-16,Illinois,Chicago,3400 block of W Monroe,1,3,N/A
9-Nov-16,Tennessee,Memphis,1800 block of East Brooks Road,0,4,N/A
5-Nov-16,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,N/A
5-Nov-16,Texas,San Antonio,10726 Perrin Beitel Rd,0,4,N/A
5-Nov-16,South Carolina,Myrtle Beach,803 Main St,0,5,N/A
5-Nov-16,California,Oakland,420 14th Street,0,8,N/A
5-Nov-16,Illinois,Chicago,4800 block of North Winthrop,0,5,N/A
4-Nov-16,Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,N/A
3-Nov-16,Illinois,Chicago,8000 block of S Shore Dr,2,2,N/A
3-Nov-16,New Jersey,Orange,234 Cleveland Street,2,2,N/A
2-Nov-16,Arkansas,Little Rock,2111 Bragg Street,1,4,N/A
1-Nov-16,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,N/A
31-Oct-16,Louisiana,Shreveport,700 Block of W 68th St,0,4,N/A
30-Oct-16,Ohio,Toledo,742 Junction Ave,0,4,N/A
30-Oct-16,Maryland,Capitol Heights,6862 Walker Mill Rd,3,3,N/A
30-Oct-16,New York,New York (Manhattan),135 Ridge Street,0,4,N/A
30-Oct-16,New York,Newburgh,119 First Street,2,5,N/A
30-Oct-16,Texas,San Antonio,2900 block of Aspen Meadow,0,5,N/A
29-Oct-16,Ohio,Dayton,2010 Cornell Ridge Dr,1,3,N/A
29-Oct-16,California,Los Angeles,1600 block of Century Boulevard,0,5,N/A
29-Oct-16,California,Riverside,3500 block of Madison Street,0,4,N/A
28-Oct-16,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,N/A
28-Oct-16,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,N/A
27-Oct-16,Georgia,Jackson,600 block of Moccasin Gap Road,4,0,N/A
25-Oct-16,Ohio,Dayton,3300 block of Riverside Dr,1,3,N/A
25-Oct-16,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,N/A
23-Oct-16,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,N/A
22-Oct-16,California,Oakland,77th and Bancroft Avenues,0,7,N/A
18-Oct-16,California,San Francisco,325 La Grande Ave,0,4,N/A
17-Oct-16,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,N/A
15-Oct-16,Alabama,Mobile,1800 block of St Stephens Road,0,5,N/A
15-Oct-16,Illinois,Rockford,7801 East State St,1,5,N/A
15-Oct-16,California,Los Angeles,2918 Rimpau Blvd,4,11,N/A
14-Oct-16,Illinois,Chicago,3300 block of W Maypole Ave,1,6,N/A
13-Oct-16,Illinois,Chicago,2700 block of West Lexington,0,4,N/A
9-Oct-16,Michigan,Grand Rapids,1850 28th Street SE,1,8,N/A
9-Oct-16,California,Sacramento,1696 Arden Way,1,3,N/A
8-Oct-16,New York,Brooklyn,7301 3rd Ave,0,4,N/A
4-Oct-16,Louisiana,New Orleans,3727 Ulloa Street,3,2,N/A
3-Oct-16,Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,N/A
2-Oct-16,Texas,San Antonio,2600 South Flores Street,1,4,N/A
1-Oct-16,Illinois,Pembroke Township,17250E Road,4,0,N/A
1-Oct-16,California,Fresno,3200 block of East Clay Avenue,0,4,N/A
29-Sep-16,California,San Francisco,400 block of Ellis St,1,3,N/A
26-Sep-16,North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,N/A
26-Sep-16,Texas,Humble,21219 Grand Linden Ct,0,4,N/A
26-Sep-16,Texas,Houston,5450 Weslayan St,1,6,N/A
25-Sep-16,Illinois,Champaign,300 block of E. Green St,1,3,N/A
24-Sep-16,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,N/A
23-Sep-16,Washington,Burlington,201 Cascade Mall Dr,5,0,N/A
18-Sep-16,Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,N/A
18-Sep-16,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,0,4,N/A
18-Sep-16,Virginia,Lynchburg,421 Rivermont Ave,1,3,N/A
17-Sep-16,Florida,Miami,20582 SW 119th Ave,0,6,N/A
17-Sep-16,Florida,Orlando,3918 Columbia St,1,6,N/A
