state,handgun,long_gun,other,multiple,Total Sales,pop_estimate_2016,percentage_gunpurchase
Alabama,810943.0,673243.0,31492.0,38105,1553783.0,4864745.0,31.93965973550515
Alaska,194332.0,193366.0,15754.0,12719,416171.0,741504.0,56.125253538753675
Arizona,828663.0,531902.0,65624.0,42972,1469161.0,6945452.0,21.152849375389824
Arkansas,395032.0,428134.0,15648.0,25163,863977.0,2990410.0,28.891590116405443
California,2737456.0,2069911.0,426110.0,0,5233477.0,39209127.0,13.34759888941164
Colorado,1211156.0,906196.0,79148.0,72462,2268962.0,5540921.0,40.94918516253887
Connecticut,491979.0,214445.0,20262.0,0,726686.0,3578674.0,20.306012785741313
Delaware,121208.0,105892.0,7185.0,5205,239490.0,949216.0,25.23029531739878
District of Columbia,4338.0,219.0,1.0,42,4600.0,686575.0,0.6699923533481411
Florida,3273448.0,1501722.0,204238.0,134560,5113968.0,20629982.0,24.789008541064167
Georgia,950069.0,645160.0,32430.0,40748,1668407.0,10304763.0,16.19063922188215
Hawaii,0.0,0.0,0.0,0,0.0,1428105.0,0.0
Idaho,235687.0,296793.0,15988.0,13352,561820.0,1682930.0,33.383444350032384
Illinois,1530301.0,821024.0,0.0,58696,2410021.0,12826895.0,18.788810542223974
Indiana,1333990.0,869455.0,85539.0,47352,2336336.0,6633344.0,35.22108909171603
Iowa,12905.0,180163.0,2270.0,312,195650.0,3131785.0,6.247236001194207
Kansas,395277.0,371760.0,27209.0,23209,817455.0,2911263.0,28.079050226654207
Kentucky,682528.0,561466.0,21059.0,38366,1303419.0,4438229.0,29.36799791087842
Louisiana,789636.0,695101.0,50818.0,44728,1580283.0,4678215.0,33.77961466071995
Maine,222131.0,227769.0,15121.0,11722,476743.0,1331370.0,35.8084529469644
Maryland,274636.0,358112.0,9025.0,1718,643491.0,6004692.0,10.71646972067843
Massachusetts,350459.0,193077.0,29577.0,11491,584604.0,6826022.0,8.56434391802429
Michigan,751325.0,672782.0,33557.0,13995,1471659.0,9951890.0,14.787733787250462
Minnesota,555576.0,701680.0,42410.0,23294,1322960.0,5523409.0,23.951874648428173
Mississippi,558889.0,467033.0,19732.0,27840,1073494.0,2988298.0,35.92325798832647
Missouri,1343449.0,1047590.0,86431.0,70819,2548289.0,6087203.0,41.86305270253021
Montana,192365.0,293172.0,11238.0,15390,512165.0,1040863.0,49.20580326133218
Nebraska,8721.0,136320.0,1353.0,341,146735.0,1905924.0,7.698890406962712
Nevada,317815.0,188782.0,18386.0,18174,543157.0,2919772.0,18.602719664412152
New Hampshire,326752.0,214557.0,9611.0,212,551132.0,1342373.0,41.0565468763153
New Jersey,307995.0,232464.0,11881.0,0,552340.0,8874516.0,6.223888716860728
New Mexico,374762.0,294470.0,27806.0,21153,718191.0,2092789.0,34.3174108808867
New York,631445.0,986404.0,65967.0,12252,1696068.0,19641589.0,8.635085481118661
North Carolina,90385.0,880582.0,50681.0,15608,1037256.0,10156679.0,10.212550775701388
North Dakota,108316.0,186909.0,6626.0,5664,307515.0,754353.0,40.76539763214304
Ohio,1815559.0,1208510.0,107761.0,79630,3211460.0,11635003.0,27.601711834539277
Oklahoma,837356.0,679975.0,68028.0,63371,1648730.0,3926769.0,41.98693633366261
Oregon,882173.0,712328.0,0.0,170,1594671.0,4091404.0,38.97613142090099
Pennsylvania,3150380.0,851780.0,2052.0,0,4004212.0,12783538.0,31.323190809930708
Puerto Rico,94347.0,13116.0,3446.0,1765,112674.0,3406495.0,3.3076226443896144
Rhode Island,67601.0,48035.0,5336.0,10370,131342.0,1057063.0,12.42518184819637
South Carolina,653587.0,438058.0,37569.0,30856,1160070.0,4958235.0,23.39683375233324
South Dakota,172472.0,253086.0,13355.0,10813,449726.0,862890.0,52.1185782660594
Tennessee,1606994.0,1049190.0,49498.0,34886,2740568.0,6645011.0,41.24249004252965
Texas,3161777.0,2498947.0,207389.0,188485,6056598.0,27937492.0,21.679104194463843
Utah,233412.0,268330.0,16478.0,5173,523393.0,3042613.0,17.20208912536691
Vermont,94402.0,98204.0,6891.0,4557,204054.0,623644.0,32.71962850600663
Virginia,1477005.0,1027228.0,107353.0,0,2611586.0,8410946.0,31.049848613937126
Washington,1098043.0,778159.0,141557.0,46636,2064395.0,7294680.0,28.300007676827498
West Virginia,453879.0,442717.0,19024.0,28729,944349.0,1830929.0,51.5775871156118
Wisconsin,887564.0,825053.0,51488.0,3059,1767164.0,5772958.0,30.61106628525619
Wyoming,121117.0,139879.0,7544.0,7167,275707.0,584290.0,47.186671002413185
