monthyr_num,Total Sales,monthyr_prev,monthyr_impact
201301,1726532.0,201301,201301
201302,1527967.0,201302,201302
201303,1431834.0,201303,201303
201304,1127437.0,201304,201304
201305,913858.0,201305,201305
201306,815310.0,201306,201306
201307,794669.0,201307,201307
201308,955728.0,201308,201308
201309,966695.0,201309,201309
201310,1033204.0,201310,201310
201311,1226493.0,201311,201311
201312,1450709.0,201312,201312
201401,908087.0,201401,201401
201402,1153864.0,201402,201402
201403,1158365.0,201403,201403
201404,930271.0,201404,201404
201405,814389.0,201405,201405
201406,747528.0,201406,201406
201407,753052.0,201407,201407
201408,914388.0,201408,201408
201409,951817.0,201409,201409
201410,1089878.0,201410,201410
201411,1256129.0,201411,201411
201412,1558584.0,201412,201412
201501,984498.0,201501,201501
201502,1180547.0,201502,201502
201503,1124840.0,201503,201503
201504,928252.0,201504,201504
201505,858365.0,201505,201505
201506,825111.0,201506,201506
201507,877775.0,201507,201507
201508,965185.0,201508,201508
201509,997133.0,201509,201509
201510,1123506.0,201510,201510
201511,1357845.0,201511,201511
201512,2162066.0,201512,201512
201601,1302140.0,201601,201601
201602,1380720.0,201602,201602
201603,1221518.0,201603,201603
201604,1046907.0,201604,201604
201605,871817.0,201605,201605
201606,1076592.0,201606,201606
201607,1143824.0,201607,201607
201608,1144148.0,201608,201608
201609,1080534.0,201609,201609
201610,1289101.0,201610,201610
201611,1584876.0,201611,201611
201612,1775692.0,201612,201612
201701,976301.0,201701,201701
201702,1199692.0,201702,201702
201703,1274219.0,201703,201703
201704,1051322.0,201704,201704
201705,926516.0,201705,201705
201706,947107.0,201706,201706
201707,845007.0,201707,201707
201708,950331.0,201708,201708
201709,939949.0,201709,201709
201710,1056548.0,201710,201710
201711,1379136.0,201711,201711
201712,1551768.0,201712,201712
201801,890938.0,201801,201801
201802,1169557.0,201802,201802
201803,1417513.0,201803,201803
201804,1004825.0,201804,201804
201805,841583.0,201805,201805
201806,824618.0,201806,201806
201807,759968.0,201807,201807
201808,889395.0,201808,201808
201809,853226.0,201809,201809
201810,928474.0,201810,201810
201811,1234665.0,201811,201811
201812,1429269.0,201812,201812
201901,923497.0,201901,201901
201902,1024432.0,201902,201902
201903,1237852.0,201903,201903
201904,931494.0,201904,201904
201905,845612.0,201905,201905
201906,856794.0,201906,201906
201907,762812.0,201907,201907
