monthyr_num,Number of Incidents,Total Number of Victims in Month,Relative Value,monthyr_impact,monthyr_prev,Total Sales_prev,Total Sales_impact,Total Sales
201404.0,1.0,15.0,24.0,201405.0,201305.0,913858.0,814389.0,930271.0
201405.0,1.0,19.0,25.0,201406.0,201306.0,815310.0,747528.0,814389.0
201410.0,1.0,6.0,23.0,201411.0,201311.0,1226493.0,1256129.0,1089878.0
201506.0,1.0,10.0,32.0,201507.0,201407.0,753052.0,877775.0,825111.0
201507.0,1.0,7.0,30.0,201508.0,201408.0,914388.0,965185.0,877775.0
201510.0,1.0,18.0,38.0,201511.0,201411.0,1256129.0,1357845.0,1123506.0
201511.0,1.0,12.0,28.0,201512.0,201412.0,1558584.0,2162066.0,1357845.0
201512.0,1.0,35.0,50.0,201601.0,201501.0,984498.0,1302140.0,2162066.0
201602.0,2.0,25.0,24.0,201603.0,201503.0,1124840.0,1221518.0,1380720.0
201606.0,1.0,102.0,74.0,201607.0,201507.0,877775.0,1143824.0,1076592.0
201607.0,2.0,22.0,67.0,201608.0,201508.0,965185.0,1144148.0,1143824.0
201609.0,1.0,5.0,38.0,201610.0,201510.0,1123506.0,1289101.0,1080534.0
201701.0,1.0,11.0,32.0,201702.0,201602.0,1380720.0,1199692.0,976301.0
201706.0,2.0,10.0,32.0,201707.0,201607.0,1143824.0,845007.0,947107.0
201710.0,2.0,610.0,100.0,201711.0,201611.0,1584876.0,1379136.0,1056548.0
201711.0,2.0,61.0,50.0,201712.0,201612.0,1775692.0,1551768.0,1379136.0
201801.0,1.0,5.0,26.0,201802.0,201702.0,1199692.0,1169557.0,890938.0
201802.0,1.0,34.0,83.0,201803.0,201703.0,1274219.0,1417513.0,1169557.0
201804.0,1.0,8.0,36.0,201805.0,201705.0,926516.0,841583.0,1004825.0
201805.0,1.0,23.0,44.0,201806.0,201706.0,947107.0,824618.0,841583.0
201806.0,1.0,7.0,27.0,201807.0,201707.0,845007.0,759968.0,824618.0
201809.0,3.0,16.0,27.0,201810.0,201710.0,1056548.0,928474.0,853226.0
201810.0,1.0,17.0,34.0,201811.0,201711.0,1379136.0,1234665.0,928474.0
201811.0,1.0,34.0,41.0,201812.0,201712.0,1551768.0,1429269.0,1234665.0
201901.0,1.0,5.0,25.0,201902.0,201802.0,1169557.0,1024432.0,923497.0
201902.0,1.0,11.0,26.0,201903.0,201803.0,1417513.0,1237852.0,1024432.0
201905.0,1.0,16.0,32.0,201906.0,201806.0,824618.0,856794.0,845612.0
201907.0,1.0,15.0,26.0,201908.0,201808.0,889395.0,1302140.0,762812.0
