Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim
50002,30-Dec-16,Ohio,Mansfield,3230 Possum Run Rd,0,5,5
50003,30-Dec-16,Connecticut,Wallingford,95 S Turnpike Rd,2,3,5
50004,28-Dec-16,Georgia,Columbus,2914 10th Street,1,4,5
50005,25-Dec-16,Illinois,Chicago,8600 block of S Maryland Ave,3,4,7
50007,25-Dec-16,New York,Mount Vernon,4 North 3rd Avenue,1,5,6
50008,24-Dec-16,North Carolina,Madison,490 K Ford Rd,0,7,7
50012,17-Dec-16,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,5
50018,11-Dec-16,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,5
50019,11-Dec-16,Maryland,Baltimore,3916 South Hanover Street,0,5,5
50023,5-Dec-16,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,5
50024,3-Dec-16,California,Los Angeles,91st Street and Western Avenue,0,6,6
50025,2-Dec-16,New Jersey,Bloomfield,3 1st Ave,0,6,6
50027,30-Nov-16,Maryland,Baltimore,2901 Garrison Blvd,2,4,6
50031,27-Nov-16,Louisiana,New Orleans,100 block of Bourbon Street,1,9,10
50032,27-Nov-16,Missouri,Kansas City,Gregory and Prospect,0,7,7
50033,26-Nov-16,Illinois,Chicago,8800 block of S Exchange Ave,1,5,6
50035,24-Nov-16,Kentucky,Louisville,4501 W Broadway,2,4,6
50038,22-Nov-16,Florida,Clewiston,1068 Harlem Academy Ave,1,4,5
50040,17-Nov-16,Tennessee,Dyersburg,160 Longfellow,1,7,8
50041,13-Nov-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,5
50043,13-Nov-16,California,San Diego,3800 block of Marlborough Avenue,3,2,5
50045,12-Nov-16,California,Sacramento,8600 block of Ardith Drive,1,5,6
50047,12-Nov-16,Connecticut,Bridgeport,2500 Park Avenue,0,5,5
50050,9-Nov-16,Washington,Seattle,1524 3rd Ave,0,5,5
50055,5-Nov-16,South Carolina,Myrtle Beach,803 Main St,0,5,5
50056,5-Nov-16,California,Oakland,420 14th Street,0,8,8
50057,5-Nov-16,Illinois,Chicago,4800 block of North Winthrop,0,5,5
50061,2-Nov-16,Arkansas,Little Rock,2111 Bragg Street,1,4,5
50062,1-Nov-16,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,6
50065,30-Oct-16,Maryland,Capitol Heights,6862 Walker Mill Rd,3,3,6
50067,30-Oct-16,New York,Newburgh,119 First Street,2,5,7
50068,30-Oct-16,Texas,San Antonio,2900 block of Aspen Meadow,0,5,5
50070,29-Oct-16,California,Los Angeles,1600 block of Century Boulevard,0,5,5
50072,28-Oct-16,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,6
50076,25-Oct-16,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,5
50077,23-Oct-16,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,6
50078,22-Oct-16,California,Oakland,77th and Bancroft Avenues,0,7,7
50080,17-Oct-16,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,5
