Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim,Month/Year,Year
97407,2016-01-2014,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,5,7,201401,2014
95550,12-01-2014,Alabama,Huntsville,University Drive,0,5,5,201401,2014
95579,12-01-2014,Illinois,Elgin,300 block of North Street,0,5,5,201401,2014
97365,2016-01-2014,Utah,Spanish Fork,37 N. 630 West,5,0,5,201401,2014
113665,27-01-2014,Washington,Seattle,2nd Avenue South and South Main Street,1,4,5,201401,2014
95500,12-01-2014,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,6,201401,2014
98836,21-01-2014,New Jersey,Newark,Springfield Avenue ,2,3,5,201401,2014
100434,25-01-2014,Illinois,Chicago,S Union Ave and W 51st St,1,4,5,201401,2014
107673,2016-02-2014,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,5,201402,2014
107519,2016-02-2014,Texas,Dallas,2600 block of South Harwood Street,1,7,8,201402,2014
107433,2016-02-2014,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,5,201402,2014
107417,2016-02-2014,Florida,Orlando (Pine Hills),4500 block of Charlene Terrace,1,6,7,201402,2014
107403,2015-02-2014,Nevada,Las Vegas,Sahara and Maryland ,0,5,5,201402,2014
106394,12-02-2014,Indiana,Gary,2220 block of Broadway,0,5,5,201402,2014
104721,7-02-2014,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,5,201402,2014
109957,25-02-2014,Virginia,Glade Spring,Graceland Lane,5,1,6,201402,2014
108649,20-02-2014,California,Alturas,300 W 1st St,4,2,6,201402,2014
103698,3-02-2014,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,5,201402,2014
108659,2016-02-2014,Texas,Fort Worth, 115 NW 25th St.,1,4,5,201402,2014
111095,1-03-2014,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,5,201403,2014
112415,5-03-2014,South Carolina,Pelzer,Law Street,3,2,5,201403,2014
113214,8-03-2014,Illinois,Chicago,4900 West Race Ave,0,6,6,201403,2014
113247,9-03-2014,Texas,Austin, 4900 block of West Race Avenue,0,6,6,201403,2014
117914,23-03-2014,California,San Francisco,Turk and Taylor,0,7,7,201403,2014
120303,30-03-2014,North Carolina,Charlotte,4300 Sunset Road,0,5,5,201403,2014
120621,30-03-2014,Mississippi,Starkville,,0,5,5,201403,2014
128871,25-04-2014,Tennessee,Memphis,2000 Chelsea Avenue,2,3,5,201404,2014
121031,2-04-2014,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,20,201404,2014
122136,5-04-2014,Illinois,Chicago,4300 W Wilcox Street,1,5,6,201404,2014
127045,20-04-2014,Illinois,Montgomery,1300 block of Jackson St,0,6,6,201404,2014
127413,20-04-2014,Illinois,Chicago,6600 South Michigan Ave,0,5,5,201404,2014
129730,27-04-2014,New York,Troy,Fourth Street,0,5,5,201404,2014
130232,29-04-2014,Georgia,Kennesaw,1675 Airport Road,1,6,7,201404,2014
140185,23-05-2014,Louisiana,New Orleans,6200 block of Eads Street,1,7,8,201405,2014
138282,23-05-2014,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,12,201405,2014
136163,2017-05-2014,District of Columbia,Washington,2200 block of Adams Place NE,0,5,5,201405,2014
135904,2018-05-2014,Ohio,Sandusky,1643 Cleveland Rd,0,7,7,201405,2014
134823,13-05-2014,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,5,201405,2014
134238,11-05-2014,Tennessee,Memphis,2517 Shasta,0,7,7,201405,2014
156823,10-05-2014,California,Sacramento,3031 Guadalajara Way,1,6,7,201405,2014
134052,10-05-2014,Georgia,Decatur,Shamrock Dr,2,3,5,201405,2014
131998,3-05-2014,Arkansas,Jonesboro,2201 Moore Rd,4,4,8,201405,2014
150299,24-06-2014,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,9,201406,2014
152960,28-06-2014,California,Antioch,5500 Cedar Point Way,0,7,7,201406,2014
152693,29-06-2014,California,Los Angeles,1100 block of North Vermont Avenue,1,5,6,201406,2014
152468,29-06-2014,Louisiana,New Orleans,700 block of Bourbon St,1,9,10,201406,2014
151659,26-06-2014,Wisconsin,Milwaukee,24th and Locust,0,5,5,201406,2014
151475,25-06-2014,Massachusetts,Lowell,Midland Street,0,5,5,201406,2014
150344,21-06-2014,Tennessee,Memphis,2119 East Alcy Road,0,5,5,201406,2014
144565,8-06-2014,Alabama,Opp,611 Hardin Street,1,4,5,201406,2014
143723,7-06-2014,South Carolina,Moncks Corner,Tish Lane,1,5,6,201406,2014
156245,9-06-2014,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,6,201406,2014
142076,2-06-2014,Illinois,Chicago,2660 E. 79th St,0,7,7,201406,2014
141382,1-06-2014,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,6,201406,2014
142818,3-06-2014,Georgia,Atlanta,Auburn Avenue,1,4,5,201406,2014
158589,13-07-2014,Connecticut,Stamford,84 West Park Place,0,5,5,201407,2014
161302,21-07-2014,New Jersey,Irvington,36 Welland Avenue,0,6,6,201407,2014
163874,25-07-2014,Illinois,Chicago,700 South California Avenue,1,6,7,201407,2014
164513,26-07-2014,Maine,Saco,35 Water Street,5,0,5,201407,2014
165089,27-07-2014,Missouri,Saint Louis,2000 block of East John Avenue,0,5,5,201407,2014
165856,28-07-2014,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,5,201407,2014
176329,30-07-2014,North Carolina,Hope Mills,926 Bramblegate Rd,2,3,5,201407,2014
158387,2014-07-2014,California,Sacramento,Fulton Avenue ,1,4,5,201407,2014
158306,13-07-2014,Washington,Skyway,12600 Renton Avenue South ,0,5,5,201407,2014
158055,5-07-2014,Illinois,Centreville,4700 Piggott Avenue,0,5,5,201407,2014
157857,12-07-2014,California,Pasadena,1700 block of Summit Avenue,3,2,5,201407,2014
156834,2-07-2014,Pennsylvania,Chester,1400 block of West Congress Street,0,5,5,201407,2014
163930,26-07-2014,Georgia,Sylvester,Royal Street,0,8,8,201407,2014
156670,9-07-2014,Texas,Spring,711 Leaflet Ln,6,1,7,201407,2014
156468,8-07-2014,Rhode Island,Providence,35 March Street,0,5,5,201407,2014
155943,7-07-2014,California,San Bernardino,312  E Baseline Street ,1,4,5,201407,2014
154971,5-07-2014,Oregon,Portland,333 SE 122ND Ave,1,4,5,201407,2014
154844,4-07-2014,Virginia,Norfolk,1722 Thurgood Street,0,5,5,201407,2014
154834,5-07-2014,Virginia,Norfolk,861 W. 36th Street,0,7,7,201407,2014
154803,5-07-2014,Texas,Houston,1700 Almeda-Genoa,0,6,6,201407,2014
154721,5-07-2014,Indiana,Indianapolis,Broad Ripple Avenue,0,7,7,201407,2014
171802,9-08-2014,Minnesota,Minneapolis,400 3rd Ave N,1,8,9,201408,2014
172180,10-08-2014,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,7,201408,2014
172205,10-08-2014,District of Columbia,Washington,50 block of N St SW,0,6,6,201408,2014
172288,10-08-2014,Georgia,Wrightsville,2455 Idylwild Dr,0,6,6,201408,2014
180007,24-08-2014,California,San Fernando,1400 block of Celis Street ,3,4,7,201408,2014
173628,12-08-2014,Georgia,Cartersville,Brent Cir,2,3,5,201408,2014
175788,2016-08-2014,Utah,Salt Lake City,122 Pierpont Avenue,0,6,6,201408,2014
169326,4-08-2014,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,5,201408,2014
183432,31-08-2014,California,Livermore,200 block of South Q Street ,0,5,5,201408,2014
172304,10-08-2014,Louisiana,New Orleans,5400 block of Burgundy St,2,5,7,201408,2014
169024,3-08-2014,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,5,201408,2014
178425,20-08-2014,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,5,201408,2014
168786,3-08-2014,Missouri,Saint Louis,5200 block of Thekla ,0,5,5,201408,2014
168307,2-08-2014,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,6,201408,2014
168169,2-08-2014,Massachusetts,New Bedford,Acushnet Avenue,0,7,7,201408,2014
168844,3-08-2014,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,5,201408,2014
168551,3-08-2014,Texas,Humble,3403 FM 1960,0,7,7,201408,2014
185430,3-09-2014,California,Los Angeles,East 27th and Stanford ,0,6,6,201409,2014
190599,2014-09-2014,Alaska,Anchorage,225 E Fifth,0,6,6,201409,2014
191416,2015-09-2014,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,5,201409,2014
