Category: All categories

Week,shooting: (United States)
2014-08-03,6
2014-08-10,10
2014-08-17,11
2014-08-24,9
2014-08-31,6
2014-09-07,6
2014-09-14,6
2014-09-21,7
2014-09-28,6
2014-10-05,6
2014-10-12,5
2014-10-19,12
2014-10-26,8
2014-11-02,6
2014-11-09,6
2014-11-16,10
2014-11-23,12
2014-11-30,8
2014-12-07,6
2014-12-14,8
2014-12-21,9
2014-12-28,7
2015-01-04,9
2015-01-11,7
2015-01-18,7
2015-01-25,6
2015-02-01,6
2015-02-08,7
2015-02-15,6
2015-02-22,5
2015-03-01,6
2015-03-08,6
2015-03-15,7
2015-03-22,6
2015-03-29,6
2015-04-05,10
2015-04-12,7
2015-04-19,6
2015-04-26,6
2015-05-03,8
2015-05-10,6
2015-05-17,10
2015-05-24,7
2015-05-31,6
2015-06-07,6
2015-06-14,20
2015-06-21,10
2015-06-28,7
2015-07-05,7
2015-07-12,11
2015-07-19,13
2015-07-26,9
2015-08-02,9
2015-08-09,7
2015-08-16,6
2015-08-23,32
2015-08-30,10
2015-09-06,8
2015-09-13,7
2015-09-20,6
2015-09-27,24
2015-10-04,14
2015-10-11,7
2015-10-18,7
2015-10-25,7
2015-11-01,7
2015-11-08,9
2015-11-15,7
2015-11-22,12
2015-11-29,39
2015-12-06,12
2015-12-13,9
2015-12-20,9
2015-12-27,8
2016-01-03,8
2016-01-10,6
2016-01-17,6
2016-01-24,8
2016-01-31,7
2016-02-07,8
2016-02-14,6
2016-02-21,11
2016-02-28,8
2016-03-06,7
2016-03-13,7
2016-03-20,7
2016-03-27,8
2016-04-03,7
2016-04-10,7
2016-04-17,7
2016-04-24,7
2016-05-01,8
2016-05-08,6
2016-05-15,7
2016-05-22,7
2016-05-29,14
2016-06-05,8
2016-06-12,67
2016-06-19,12
2016-06-26,9
2016-07-03,47
2016-07-10,16
2016-07-17,19
2016-07-24,10
2016-07-31,8
2016-08-07,8
2016-08-14,8
2016-08-21,6
2016-08-28,7
2016-09-04,7
2016-09-11,7
2016-09-18,20
2016-09-25,17
2016-10-02,8
2016-10-09,7
2016-10-16,7
2016-10-23,6
2016-10-30,7
2016-11-06,8
2016-11-13,7
2016-11-20,7
2016-11-27,14
2016-12-04,7
2016-12-11,6
2016-12-18,7
2016-12-25,8
2017-01-01,16
2017-01-08,9
2017-01-15,10
2017-01-22,7
2017-01-29,9
2017-02-05,6
2017-02-12,7
2017-02-19,8
2017-02-26,7
2017-03-05,7
2017-03-12,7
2017-03-19,7
2017-03-26,9
2017-04-02,7
2017-04-09,11
2017-04-16,16
2017-04-23,7
2017-04-30,9
2017-05-07,6
2017-05-14,6
2017-05-21,6
2017-05-28,7
2017-06-04,9
2017-06-11,17
2017-06-18,9
2017-06-25,9
2017-07-02,8
2017-07-09,6
2017-07-16,7
2017-07-23,6
2017-07-30,6
2017-08-06,6
2017-08-13,6
2017-08-20,6
2017-08-27,6
2017-09-03,5
2017-09-10,8
2017-09-17,7
2017-09-24,9
2017-10-01,100
2017-10-08,16
2017-10-15,12
2017-10-22,8
2017-10-29,15
2017-11-05,34
2017-11-12,13
2017-11-19,8
2017-11-26,8
2017-12-03,9
2017-12-10,7
2017-12-17,7
2017-12-24,8
2017-12-31,8
2018-01-07,7
2018-01-14,7
2018-01-21,14
2018-01-28,9
2018-02-04,7
2018-02-11,63
2018-02-18,25
2018-02-25,17
2018-03-04,10
2018-03-11,10
2018-03-18,19
2018-03-25,10
2018-04-01,18
2018-04-08,7
2018-04-15,8
2018-04-22,13
2018-04-29,8
2018-05-06,8
2018-05-13,27
2018-05-20,18
2018-05-27,9
2018-06-03,7
2018-06-10,8
2018-06-17,9
2018-06-24,12
2018-07-01,8
2018-07-08,6
2018-07-15,8
2018-07-22,10
2018-07-29,8
2018-08-05,8
2018-08-12,7
2018-08-19,7
2018-08-26,20
2018-09-02,10
2018-09-09,8
2018-09-16,11
2018-09-23,7
2018-09-30,9
2018-10-07,7
2018-10-14,8
2018-10-21,13
2018-10-28,19
2018-11-04,23
2018-11-11,9
2018-11-18,13
2018-11-25,8
2018-12-02,7
2018-12-09,8
2018-12-16,7
2018-12-23,8
2018-12-30,8
2019-01-06,8
2019-01-13,8
2019-01-20,9
2019-01-27,8
2019-02-03,7
2019-02-10,11
2019-02-17,9
2019-02-24,7
2019-03-03,7
2019-03-10,16
2019-03-17,11
2019-03-24,8
2019-03-31,8
2019-04-07,7
2019-04-14,8
2019-04-21,7
2019-04-28,13
2019-05-05,17
2019-05-12,8
2019-05-19,7
2019-05-26,12
2019-06-02,11
2019-06-09,9
2019-06-16,10
2019-06-23,8
2019-06-30,8
2019-07-07,6
2019-07-14,6
2019-07-21,6
2019-07-28,23
