Category: All categories

Week,shooting: (United States)
2015-01-04,24
2015-01-11,19
2015-01-18,19
2015-01-25,15
2015-02-01,16
2015-02-08,20
2015-02-15,16
2015-02-22,14
2015-03-01,17
2015-03-08,17
2015-03-15,18
2015-03-22,15
2015-03-29,16
2015-04-05,27
2015-04-12,19
2015-04-19,16
2015-04-26,16
2015-05-03,20
2015-05-10,17
2015-05-17,27
2015-05-24,17
2015-05-31,15
2015-06-07,17
2015-06-14,54
2015-06-21,26
2015-06-28,19
2015-07-05,18
2015-07-12,29
2015-07-19,35
2015-07-26,24
2015-08-02,23
2015-08-09,19
2015-08-16,17
2015-08-23,83
2015-08-30,28
2015-09-06,21
2015-09-13,19
2015-09-20,16
2015-09-27,64
2015-10-04,36
2015-10-11,20
2015-10-18,19
2015-10-25,18
2015-11-01,20
2015-11-08,24
2015-11-15,20
2015-11-22,32
2015-11-29,100
2015-12-06,31
2015-12-13,23
2015-12-20,23
2015-12-27,22
