Category: All categories

Week,shooting: (United States)
2017-01-01,16
2017-01-08,9
2017-01-15,9
2017-01-22,8
2017-01-29,9
2017-02-05,6
2017-02-12,7
2017-02-19,8
2017-02-26,7
2017-03-05,7
2017-03-12,7
2017-03-19,7
2017-03-26,8
2017-04-02,7
2017-04-09,11
2017-04-16,16
2017-04-23,7
2017-04-30,9
2017-05-07,6
2017-05-14,6
2017-05-21,6
2017-05-28,7
2017-06-04,9
2017-06-11,17
2017-06-18,9
2017-06-25,9
2017-07-02,8
2017-07-09,6
2017-07-16,7
2017-07-23,6
2017-07-30,6
2017-08-06,6
2017-08-13,6
2017-08-20,6
2017-08-27,6
2017-09-03,5
2017-09-10,8
2017-09-17,7
2017-09-24,9
2017-10-01,100
2017-10-08,16
2017-10-15,12
2017-10-22,9
2017-10-29,15
2017-11-05,34
2017-11-12,13
2017-11-19,8
2017-11-26,8
2017-12-03,9
2017-12-10,8
2017-12-17,7
2017-12-24,8
2017-12-31,8
