Category: All categories

Day,shooting: (United States)
2019-01-01,4
2019-01-02,4
2019-01-03,3
2019-01-04,3
2019-01-05,5
2019-01-06,5
2019-01-07,3
2019-01-08,3
2019-01-09,3
2019-01-10,3
2019-01-11,4
2019-01-12,4
2019-01-13,4
2019-01-14,5
2019-01-15,3
2019-01-16,3
2019-01-17,3
2019-01-18,4
2019-01-19,3
2019-01-20,3
2019-01-21,3
2019-01-22,4
2019-01-23,4
2019-01-24,5
2019-01-25,5
2019-01-26,4
2019-01-27,4
2019-01-28,4
2019-01-29,6
2019-01-30,3
2019-01-31,3
2019-02-01,3
2019-02-02,3
2019-02-03,3
2019-02-04,3
2019-02-05,3
2019-02-06,3
2019-02-07,4
2019-02-08,4
2019-02-09,4
2019-02-10,4
2019-02-11,3
2019-02-12,3
2019-02-13,4
2019-02-14,5
2019-02-15,8
2019-02-16,11
2019-02-17,6
2019-02-18,5
2019-02-19,4
2019-02-20,3
2019-02-21,3
2019-02-22,3
2019-02-23,3
2019-02-24,4
2019-02-25,3
2019-02-26,3
2019-02-27,3
2019-02-28,3
2019-03-01,3
2019-03-02,3
2019-03-03,3
2019-03-04,3
2019-03-05,3
2019-03-06,3
2019-03-07,3
2019-03-08,3
2019-03-09,3
2019-03-10,3
2019-03-11,3
2019-03-12,3
2019-03-13,3
2019-03-14,3
2019-03-15,25
2019-03-16,14
2019-03-17,8
2019-03-18,7
2019-03-19,5
2019-03-20,4
2019-03-21,4
2019-03-22,4
2019-03-23,5
2019-03-24,5
2019-03-25,5
2019-03-26,4
2019-03-27,3
2019-03-28,4
2019-03-29,4
2019-03-30,4
2019-03-31,4
2019-04-01,5
2019-04-02,5
2019-04-03,4
2019-04-04,3
2019-04-05,3
2019-04-06,3
2019-04-07,4
2019-04-08,3
2019-04-09,3
2019-04-10,3
2019-04-11,3
2019-04-12,3
2019-04-13,3
2019-04-14,3
2019-04-15,3
2019-04-16,4
2019-04-17,6
2019-04-18,4
2019-04-19,4
2019-04-20,4
2019-04-21,4
2019-04-22,3
2019-04-23,3
2019-04-24,3
2019-04-25,3
2019-04-26,3
2019-04-27,5
2019-04-28,8
2019-04-29,5
2019-04-30,6
2019-05-01,11
2019-05-02,6
2019-05-03,4
2019-05-04,4
2019-05-05,4
2019-05-06,3
2019-05-07,9
2019-05-08,16
2019-05-09,10
2019-05-10,6
2019-05-11,5
2019-05-12,4
2019-05-13,4
2019-05-14,4
2019-05-15,4
2019-05-16,4
2019-05-17,3
2019-05-18,4
2019-05-19,4
2019-05-20,3
2019-05-21,3
2019-05-22,3
2019-05-23,3
2019-05-24,3
2019-05-25,3
2019-05-26,4
2019-05-27,3
2019-05-28,3
2019-05-29,3
2019-05-30,3
2019-05-31,6
2019-06-01,20
2019-06-02,9
2019-06-03,7
2019-06-04,7
2019-06-05,5
2019-06-06,4
2019-06-07,3
2019-06-08,4
2019-06-09,4
2019-06-10,4
2019-06-11,4
2019-06-12,4
2019-06-13,4
2019-06-14,4
2019-06-15,6
2019-06-16,5
2019-06-17,7
2019-06-18,7
2019-06-19,4
2019-06-20,4
2019-06-21,3
2019-06-22,4
2019-06-23,4
2019-06-24,4
2019-06-25,3
2019-06-26,3
2019-06-27,3
2019-06-28,3
2019-06-29,3
2019-06-30,3
2019-07-01,3
2019-07-02,3
2019-07-03,4
2019-07-04,4
2019-07-05,4
2019-07-06,4
2019-07-07,3
2019-07-08,3
2019-07-09,3
2019-07-10,3
2019-07-11,3
2019-07-12,3
2019-07-13,3
2019-07-14,3
2019-07-15,3
2019-07-16,3
2019-07-17,3
2019-07-18,3
2019-07-19,3
2019-07-20,3
2019-07-21,3
2019-07-22,3
2019-07-23,3
2019-07-24,3
2019-07-25,3
2019-07-26,3
2019-07-27,3
2019-07-28,4
2019-07-29,22
2019-07-30,8
2019-07-31,5
2019-08-01,3
2019-08-02,3
2019-08-03,33
2019-08-04,100
2019-08-05,37
2019-08-06,20
2019-08-07,12
2019-08-08,8
2019-08-09,7
2019-08-10,6
2019-08-11,6
2019-08-12,5
2019-08-13,6
2019-08-14,8
2019-08-15,15
2019-08-16,5
2019-08-17,4
2019-08-18,4
2019-08-19,4
2019-08-20,3
2019-08-21,4
2019-08-22,4
2019-08-23,3
2019-08-24,4
2019-08-25,5
2019-08-26,4
2019-08-27,3
2019-08-28,3
2019-08-29,3
2019-08-30,3
2019-08-31,9
